,href,text
53,https://www.sports.ru//football/1114222404-dalich-o-marokko-v-polufinale-chm-4-goda-nazad-xorvatiya-dala-nebolshi.html,"Далич о Марокко в полуфинале ЧМ: «4 года назад Хорватия дала небольшим командам право мечтать. Все поверили, вдохновившись нами»"
54,https://www.sports.ru//skiing/1114221991-bolshunov-semikov-i-spiczov-vyshli-v-meshkax-na-nagrazhdenie-posle-gon.html,"Большунов, Семиков и Спицов надели мешки на награждении после гонки преследования на Кубке России"
55,https://www.sports.ru//football/1114221792-prodlenie-kontrakta-s-pszh-naibolee-veroyatnyj-variant-dlya-messi-on-g.html,"Продление контракта Месси с «ПСЖ» – наиболее вероятный вариант. Он готов отложить переход в МЛС, с «Барсой» контактов нет (Cadena SER)"
56,https://www.sports.ru//football/1114221319-trener-marokko-regragi-o-kritike-stilya-ego-komandy-poproshu-infantino.html,Тренер Марокко Реграги о критике стиля его команды: «Попрошу Инфантино добавлять очки при владении больше 60%»
57,https://www.sports.ru//football/1114221110-zarema-salixova-abaskal-ryzhij-kak-luchik-solncza-v-temnye-vremena-dly.html,"Зарема Салихова: «Абаскаль – рыжий, как лучик солнца в темные времена для российского футбола. Гильермо станет звездой» "
58,https://www.sports.ru//hockey/1114221159-vashington-ne-budet-uxodit-v-perestrojku-poka-ovechkin-idet-na-rekord-.html,"«Вашингтон» не начнет перестройку, пока Овечкин идет на рекорд Гретцки. Леонсис сказал, что распродажи не будет"
59,https://www.sports.ru//football/1114220754-mourinyu-mozhet-vozglavit-portugaliyu-treneru-predlagayut-sovmeshhat-r.html,"Моуринью может возглавить Португалию. Тренеру предлагают совмещать работу в сборной и «Роме», он заинтересован "
60,https://www.sports.ru//football/1114220953-messi-ideal-futbola-on-mozhet-igrat-do-50-let-i-ostavatsya-luchshim-mb.html,"«Месси – идеал футбола, он может играть до 50 лет. Мбаппе и Неймар знают, что он лучший». Экс-защитник сборной Аргентины Пинеда о Лео"
61,https://www.sports.ru//football/1114220666-santush-pokinet-sbornuyu-portugalii-kontrakt-s-nim-rastorgnut-v-blizha.html,Сантуш покинет сборную Португалии. Контракт с ним расторгнут в ближайшие дни (A Bola)
62,https://www.sports.ru//automoto/1114220637-vasser-novyj-rukovoditel-ferrari.html,Вассер назначен руководителем «Феррари»
63,https://www.sports.ru/https://sprts.cc/l8kUFl,Кто станет первым финалистом ЧМ 2022? Узнаем уже сегодня вечером – выбирайте фаворита с бонусом от Olimpbet 
64,https://www.sports.ru//football/1114220230-ibragimovich-o-chm-2022-dumayu-messi-podnimet-trofej-eto-uzhe-prednach.html,"Ибрагимович о ЧМ-2022: «Думаю, Месси поднимет трофей, это уже предначертано» "
65,https://www.sports.ru//skiing/1114211092-lyzhi-kubok-rossii-bolshunov-ubezhit-pervym-v-klassicheskoj-gonke-pres.html,"Лыжи. Кубок России. Большунов выиграл гонку преследования, Семиков – 2-й, Спицов – 3-й, Устюгов – 6-й "
66,https://www.sports.ru//football/1114220475-top-kluby-evropy-otkazyvayutsya-uchastvovat-v-novoj-versii-klubnogo-ch.html,Топ-клубы Европы отказываются участвовать в новой версии клубного ЧМ с 32 командами. ФИФА в растерянности
67,https://www.sports.ru//football/1114220077-igrokam-sbornoj-saudovskoj-aravii-ne-vruchali-rolls-rojsy-za-pobedu-na.html,"Игрокам сборной Саудовской Аравии не вручали «Роллс-Ройсы» за победу над Аргентиной: «Они играют не за бонусы, а за страну»"
68,https://www.sports.ru//football/1114219559-v-kontrakte-nojera-s-bavariej-net-zapreta-na-katanie-na-lyzhax.html,В контракте Нойера с «Баварией» нет запрета на катание на лыжах
69,https://www.sports.ru//football/1114219485-zenitu-interesen-diveev-klub-sdelaet-predlozhenie-o-transfere-esli-zas.html,"«Зениту» интересен Дивеев. Клуб сделает предложение, если они с ЦСКА не договорятся о контракте"
70,https://www.sports.ru//chess/1114219352-anatolij-karpov-zapadnyj-mir-prevoznosit-karlsena-kak-velichajshego-sh.html,Анатолий Карпов: «Западный мир превозносит Карлсена как величайшего шахматиста. На самом деле его матчи на первенство мира по уровню далеки от моих»
71,https://www.sports.ru//skiing/1114210769-lyzhi-kubok-rossii-stepanova-startuet-pervoj-v-klassicheskoj-gonke-pre.html,"Лыжи. Кубок России. Степанова выиграла классическую гонку преследования, Истомина – 2-я, Смирнова – 3-я"
72,https://www.sports.ru//basketball/1114209403-nba-bruklin-v-gostyax-sygraet-s-vashingtonom-klippers-primut-boston-i-.html,"НБА. 30+9+6 от Дюрэнта помогли «Бруклину» в гостях обыграть «Вашингтон», «Клипперс» разгромили «Бостон» и другие результаты"
73,https://www.sports.ru//billiards/1114218464-snukerist-yan-bintao-otstranen-iz-za-vozmozhnyx-narushenij-svyazannyx-.html,"Снукерист Янь Бинтао отстранен из-за возможных нарушений, связанных со ставками. Расследование ведется еще против 6 игроков из Китая"
74,https://www.sports.ru//football/1114213848-zagitova-luchshaya-televedushhaya-legendy-zhelayut-messi-vyigrat-chm-v.html,"Загитова – лучшая телеведущая, легенды желают Месси выиграть ЧМ, в США – за участие россиян на ОИ-2024, новый гендиректор Sports.ru и другие новости"
75,https://www.sports.ru/https://redirect.appmetrica.yandex.com/serve/532435475533678573,"Шансы Аргентины выше, но Хорватия уже выбила одного фаворита. Ставьте на 1/2 ЧМ с бонусом до 10 000 рублей новым игрокам от «Лиги Ставок»!"
76,https://www.sports.ru//basketball/1114218011-demian-lillard-povtoril-lichnyj-rekord-po-tochnym-3-ochkovym-v-pobedno.html,Дэмиан Лиллард повторил личный рекорд по точным 3-очковым в победной игре с «Миннесотой» – 11
77,https://www.sports.ru//amfootball/1114057249-nfl-14-ya-nedelya-las-vegas-sygraet-s-rems-dzhets-vstretyatsya-s-baffa.html,"НФЛ. 14-я неделя. «Нью-Ингленд» обыграл «Аризону», «Сан-Франциско» выиграл у «Тампа-Бэй» и другие результаты"
78,https://www.sports.ru//football/1114217534-esli-by-ne-ronaldu-santusha-uzhe-davno-ne-bylo-by-v-sbornoj-eto-samoe-.html,"«Если бы не Роналду, Сантуша уже давно не было бы в сборной. Это самое большое предательство в истории Португалии». Журналист El Chiringuito о Криштиану в запасе на Марокко"
79,https://www.sports.ru/https://www.sports.ru/predictor/football/world-cup/,Кто выйдет в финал? Угадайте результаты матчей ЧМ
80,https://www.sports.ru//hockey/1114203877-nxl-pittsburg-primet-dallas-rejndzhers-sygrayut-s-nyu-dzhersi-minnesot.html,"НХЛ. «Питтсбург» одолел «Даллас», «Рейнджерс» обыграли «Нью-Джерси», «Миннесота» победила «Эдмонтон»"
81,https://www.sports.ru//football/1114216668-livakovichu-eshhe-daleko-do-akinfeeva-igor-silnee-raximich-o-vrataryax.html,«Ливаковичу еще далеко до Акинфеева. Игорь сильнее». Рахимич о вратарях
82,https://www.sports.ru//football/1114216529-medvedev-schitaet-chto-brazilczy-iz-zenita-ne-isportili-by-kartinu-v-s.html,"Медведев считает, что бразильцы из «Зенита» не испортили бы картину в сборной на ЧМ-2022: «Они уже научились преодолевать автобусы»"
83,https://www.sports.ru//football/1114214969-liverpul-gotov-zaplatit-benfike-120-mln-evro-za-enczo-fernandesa-krasn.html,«Ливерпуль» готов заплатить «Бенфике» 120 млн евро за Энцо Фернандеса. «Красные» близки к согласованию контракта с хавбеком (ESPN)
84,https://www.sports.ru/https://www.sports.ru/tribuna/blogs/aliceyandex/3097781.html,«Прошу Алису включить подкаст «КатарСиС»». С этим предметом футбол станет еще интереснее. Рассказываем за несколько минут
85,https://www.sports.ru//football/1114214910-na-final-chm-2022-mogut-naznachit-brazilcza-sampajo-rabotavshego-na-ig.html,"Судьей финала ЧМ-2022 могут назначить бразильца Сампайо, работавшего на игре Англия – Франция, или англичанина Тэйлора"
86,https://www.sports.ru//football/1114214610-luis-enrike-ne-vizhu-nikogo-luchshe-ispanii-sredi-polufinalistov-chm-2.html,Луис Энрике: «Не вижу никого лучше Испании среди полуфиналистов ЧМ-2022»
87,https://www.sports.ru//football/1114213966-bavariya-nachala-peregovory-s-predstavitelyami-livakovicha-vratar-sbor.html,«Бавария» начала переговоры с представителями Ливаковича. Вратарь сборной Хорватии может заменить травмированного Нойера 
88,https://www.sports.ru//football/1114213668-xavbek-niderlandov-lang-o-zloradstve-argentinczev-prazdnujte-drug-s-dr.html,"Хавбек Нидерландов Ланг о злорадстве аргентинцев: «Вот почему они не выиграют ЧМ. Празднуйте друг с другом, но не ведите себя так» "
89,https://www.sports.ru//hockey/1114213243-tretyaku-vruchili-orden-aleksandra-nevskogo-xochu-zaverit-prezidenta-f.html,"Третьяку вручен орден Александра Невского: «Хочу заверить президента: ФХР сделает все, чтобы вырастить новых олимпийских чемпионов, которые прославят страну»"
90,https://www.sports.ru/https://sprts.cc/pbz0Tdhf,"Ловрен, Хакими и еще 8 человеек. Угадайте, за какую сборную играет топ-футболист"
91,https://www.sports.ru//basketball/1114212661-andreas-zagklis-esli-diskvalifikacziya-budet-snyata-do-leta-2023-goda-.html,"Генеральный секретарь ФИБА: «Если дисквалификация будет снята до лета 2023 года, у сборной России будет возможность попасть на Олимпиаду»"
92,https://www.sports.ru//football/1114211709-na-statyu-pochemu-argentina-ne-vzyala-bolshe-temnokozhix-igrokov-na-ch.html,"«Аргентина – страна, а не фильм Disney». Политическая коалиция La Libertad Avanza ответила на статью об отсутствии темнокожих игроков в сборной"
93,https://www.sports.ru//hockey/1114212411-ak-bars-o-pobede-zagitovoj-v-golosovanii-za-luchshuyu-televedushhuyu-p.html,«Ак Барс» о победе Загитовой в голосовании за лучшую телеведущую: «Поздравляем и гордимся!»
94,https://www.sports.ru//football/1114211167-messi-glavnyj-pretendent-na-zolotoj-myach-po-versii-goal-mbappe-2-j-xo.html,"Месси – главный претендент на «Золотой мяч» по версии Goal. Мбаппе – 2-й, Холанд – 3-й, Гризманн вошел в топ-10 "
95,https://www.sports.ru//figure-skating/1114210221-diana-devis-i-gleb-smolkin-vystupili-na-shou-v-ssha.html,Диана Дэвис и Глеб Смолкин выступили на шоу в США
96,https://www.sports.ru//football/1114210412-nevill-o-slezax-ronaldu-posle-vyleta-s-chm-uzhasayushhee-zrelishhe-odi.html,"Невилл о слезах Роналду после вылета с ЧМ: «Ужасающее зрелище. Один из величайших в истории понял, что мечте конец»"
97,https://www.sports.ru/https://sprts.cc/WkKO9f,🏆 Развязка ЧМ совсем близко: успейте собрать свою команду в Fantasy и побороться за призы в финальных турах
98,https://www.sports.ru//football/1114209618-ivan-perishich-ronaldu-ne-vyigral-ni-odnogo-iz-5-chm-messi-tozhe-idet-.html,"Иван Перишич: «Роналду не выиграл ни одного из 5 ЧМ. Месси тоже идет за титулом в 5-й раз и сделает ради него все, но Хорватия готова на 100%»"
